Player,Tm,POS,AGE,GP,MPG,MIN,USG,TO,FTA,FT,2PA,PP,3PA,PPP,eFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
Chasson Randle,ORL,PG,28.28,41,20.4,42.5,15.7,15.1,48,0.792,107,0.449,130,0.338,0.481,0.515,6.5,2,5.1,1.8,12.9,0.56,0.12,1.12,5.6,97.8,110.7
Terrence Ross,ORL,SF,30.28,46,29.3,61,24.1,9.7,138,0.87,352,0.469,264,0.337,0.485,0.53,15.6,3.4,6.1,2.4,13.4,1.02,0.46,1.59,6.9,103,111
Sindarius Thornwell,ORL,SG,26.5,7,20.5,42.7,9.2,9.8,6,0.667,11,0.364,14,0.286,0.4,0.434,3.4,1.9,4.7,2.4,16,1,0.14,0.43,4.9,104.3,108.9
Nikola Vucevic,ORL,C,30.56,44,34.1,71,29.9,8,110,0.827,620,0.515,288,0.406,0.545,0.565,24.5,11.8,17.9,3.8,22.1,0.95,0.64,1.89,12.1,111.7,108.1
Moritz Wagner,ORL,PF,24.06,11,26,54.1,18.2,10.8,33,0.879,50,0.44,43,0.372,0.495,0.563,11,4.9,9.8,1.1,6.4,0.36,0.82,1.18,6,109.2,104.4
Tony Bradley,PHI,C,23.35,20,14.4,29.9,12.8,7,11,0.636,74,0.689,1,0,0.68,0.683,5.5,5.2,19.9,0.9,8.7,0.3,0.65,0.3,8.2,143.8,99.8
Ignas Brazdeikis,PHI,SF,22.35,1,7.9,16.5,16.3,0,0,0,2,0,1,0,0,0,0,2,13.9,0,0,0,0,0,0,0,110.9
Gary Clark,PHI,PF,26.5,2,6.4,13.3,3.4,0,0,0,1,0,0,0,0,0,0,1,8.6,0.5,9.1,0.5,0,0,0,56.9,100.4
Seth Curry,PHI,PG,30.73,57,28.7,59.9,17.1,10,77,0.896,272,0.485,280,0.45,0.582,0.607,12.5,2.4,4.6,2.7,13.6,0.77,0.14,1.14,6,117.7,107.7
Joel Embiid,PHI,C,27.17,51,31.1,64.8,35.3,12.2,548,0.859,745,0.541,154,0.377,0.545,0.636,28.5,10.5,18.7,2.8,16.2,0.98,1.35,3.12,12.1,120.8,100.1
Terrance Ferguson,PHI,SG,23,13,3.8,7.9,9.6,36.4,0,0,2,0.5,5,0,0.143,0.143,0.2,0.1,1.1,0.2,4.9,0.08,0,0.31,1.7,,
Danny Green,PHI,SG,33.9,69,28,58.4,14,10.5,40,0.775,113,0.434,432,0.405,0.572,0.581,9.5,3.8,7.4,1.7,8.3,1.33,0.81,0.96,5.6,113.3,105
Tobias Harris,PHI,PF,28.84,62,32.5,67.7,23.9,9.5,204,0.892,716,0.546,208,0.394,0.556,0.597,19.5,6.8,11.4,3.5,17.6,0.89,0.82,1.73,9.5,118,104.9
George Hill,PHI,PG,35.04,16,18.9,39.5,15.2,17.8,25,0.76,54,0.463,23,0.391,0.5,0.545,6,2,5.8,1.9,13.3,0.69,0.19,1.19,6,104.4,106.6
Dwight Howard,PHI,C,35.44,69,17.3,36.1,18.3,22.1,210,0.576,283,0.611,20,0.25,0.596,0.61,7,8.4,26.7,0.9,7.2,0.43,0.9,1.62,8.7,112.3,89.3
Isaiah Joe,PHI,SG,21.87,41,9.3,19.5,17.4,7.1,24,0.75,27,0.333,106,0.368,0.508,0.533,3.7,0.9,5.2,0.5,7.2,0.29,0.1,0.27,5.1,107.7,104.2
Mason Jones,PHI,PG,22.82,6,4.5,9.4,20.7,7.6,7,0.714,7,0.571,2,0.5,0.611,0.662,2.7,0.7,8.1,0.5,16.4,0.17,0,0.17,8.7,139,106.6
Furkan Korkmaz,PHI,SG,23.81,55,19.3,40.2,20.5,9.1,82,0.732,155,0.445,269,0.375,0.52,0.544,9.1,2.1,5.9,1.5,11.1,0.89,0.16,0.84,6.3,107.7,106
Dakota Mathias,PHI,PG,25.85,8,15.4,32.2,18,1.9,6,0.333,22,0.5,26,0.308,0.479,0.474,6,0.9,3.1,1.6,15,0.13,0.38,0.13,5.3,106.9,109.8
Tyrese Maxey,PHI,PG,20.53,61,15.3,32,23,8.2,70,0.871,326,0.512,103,0.301,0.498,0.531,8,1.7,6.1,2,19.9,0.43,0.21,0.67,7.9,109.6,104.3
Shake Milton,PHI,PG,24.64,63,23.2,48.3,25,12.2,176,0.83,464,0.494,203,0.35,0.503,0.549,13,2.3,5.6,3.1,20.3,0.62,0.29,1.63,7.8,108.4,104.4
Vincent Poirier,PHI,C,27.58,10,3.9,8.1,19.4,17,6,0.333,11,0.273,1,0,0.25,0.273,0.8,1.3,18.3,0.2,6.6,0,0.3,0.3,6.1,,
Paul Reed,PHI,SF,21.92,26,6.8,14.2,22.7,12.8,8,0.5,72,0.583,6,0,0.538,0.54,3.4,2.3,18.9,0.5,10.9,0.38,0.5,0.46,9.3,110.7,91.8
